commentCounts	commentLookings	gameReviews
216	43	http://www.ign.com/articles/2017/09/05/pillars-of-eternity-complete-edition-review
83	29	http://www.ign.com/articles/2017/08/30/gigantic-review
1032	231	http://www.ign.com/articles/2017/08/23/madden-nfl-18-review
455	134	http://www.ign.com/articles/2017/06/06/dirt-4-review
88	34	http://www.ign.com/articles/2017/05/25/perception-review
2670	426	http://www.ign.com/articles/2017/05/16/injustice-2-review
745	176	http://www.ign.com/articles/2017/05/15/the-surge-review
9068	993	http://www.ign.com/articles/2017/05/13/prey-review-2
431	128	http://www.ign.com/articles/2017/05/12/forza-horizon-3-hot-wheels-review
571	118	http://www.ign.com/articles/2017/05/09/nba-playgrounds-review
212	80	http://www.ign.com/articles/2017/04/26/little-nightmares-review
204	66	http://www.ign.com/articles/2017/04/18/disney-afternoon-collection-review
234	78	http://www.ign.com/articles/2017/04/17/wonder-boy-the-dragons-trap-review
185	56	http://www.ign.com/articles/2017/04/18/voodoo-vince-remastered-review
218	85	http://www.ign.com/articles/2017/04/17/marvels-guardians-of-the-galaxy-the-telltale-series-episode-1-tangled-up-in-blue-review
210	51	http://www.ign.com/articles/2017/04/04/lego-city-undercover-review-2
229	34	http://www.ign.com/articles/2017/04/04/snake-pass-review
1798	261	http://www.ign.com/articles/2017/04/04/yooka-laylee-review
116	42	http://www.ign.com/articles/2017/03/24/has-been-heroes-review
11916	1205	http://www.ign.com/articles/2017/03/20/mass-effect-andromeda-review
79	34	http://www.ign.com/articles/2017/03/17/flatout-4-total-insanity-review
135	64	http://www.ign.com/articles/2017/03/14/styx-shards-of-darkness-review
1771	430	http://www.ign.com/articles/2017/03/08/ghost-recon-wildlands-review
62	23	http://www.ign.com/articles/2017/03/02/just-dance-2017-review
344	111	http://www.ign.com/articles/2017/02/28/torment-tides-of-numenera-review
3043	513	http://www.ign.com/articles/2017/02/21/halo-wars-2-review
5444	775	http://www.ign.com/articles/2017/02/17/for-honor-review
484	161	http://www.ign.com/articles/2017/02/13/sniper-elite-4-review
4390	839	http://www.ign.com/articles/2017/01/23/resident-evil-7-biohazard-review
540	129	http://www.ign.com/articles/2016/12/21/forza-horizon-3-blizzard-mountain-review
578	213	http://www.ign.com/articles/2016/12/07/steep-review
1198	395	http://www.ign.com/articles/2016/12/05/dead-rising-4-review
31	18	http://www.ign.com/articles/2016/12/01/the-dwarves-review
8519	1038	http://www.ign.com/articles/2016/11/28/final-fantasy-xv-review
4449	748	http://www.ign.com/articles/2016/11/23/watch-dogs-2-review
596	191	http://www.ign.com/articles/2016/11/23/assassinas-creed-the-ezio-collection-review
2591	688	http://www.ign.com/articles/2016/11/13/dishonored-2-review
1071	359	http://www.ign.com/articles/2016/11/08/call-of-duty-modern-warfare-remastered-review
2486	628	http://www.ign.com/articles/2016/11/07/call-of-duty-infinite-warfare-review
135	57	http://www.ign.com/articles/2016/11/01/hitman-episode-6-hokkaido-review
2363	538	http://www.ign.com/articles/2016/11/01/the-elder-scrolls-v-skyrim-special-edition-review
4653	853	http://www.ign.com/articles/2016/10/28/titanfall-2-review
4882	885	http://www.ign.com/articles/2016/10/21/battlefield-1-review
696	174	http://www.ign.com/articles/2016/10/17/wwe-2k17-review
216	81	http://www.ign.com/articles/2016/10/14/skylanders-imaginators-review
64	26	http://www.ign.com/articles/2016/10/12/wrc-6-review
12641	1187	http://www.ign.com/articles/2016/10/11/gears-of-war-4-review
4905	905	http://www.ign.com/articles/2016/10/10/mafia-3-review
427	126	http://www.ign.com/articles/2016/10/05/thumper-vr-review
2284	525	http://www.ign.com/articles/2016/09/27/destiny-rise-of-iron-review
157	60	http://www.ign.com/articles/2016/09/27/deus-ex-mankind-divided-system-rift-review
98	45	http://www.ign.com/articles/2016/09/22/mount-blade-warband-review
782	275	http://www.ign.com/articles/2016/09/21/fifa-17-review
5065	817	http://www.ign.com/articles/2016/09/20/forza-horizon-3-review
2233	587	http://www.ign.com/articles/2016/09/13/bioshock-the-collection-review
323	128	http://www.ign.com/articles/2016/09/13/dead-rising-triple-pack-review
723	198	http://www.ign.com/articles/2016/09/13/pes-2017-review-in-progress
5847	730	http://www.ign.com/articles/2016/09/12/recore-review
517	160	http://www.ign.com/articles/2016/09/12/nhl-17-review
496	162	http://www.ign.com/articles/2016/08/31/assetto-corsa-ps4xbox-one-review
131	65	http://www.ign.com/articles/2016/08/24/valley-review
269	95	http://www.ign.com/articles/2016/08/23/f1-2016-review
3452	788	http://www.ign.com/articles/2016/08/19/deus-ex-mankind-divided-review
214	85	http://www.ign.com/articles/2016/08/18/hitman-episode-4-bangkok-review
156	78	http://www.ign.com/articles/2016/07/25/fru-review
657	198	http://www.ign.com/articles/2016/07/13/7-days-to-die-review
14721	1667	http://www.ign.com/articles/2016/05/28/overwatch-review
736	296	http://www.ign.com/articles/2016/07/06/the-division-underground-review
1010	294	http://www.ign.com/articles/2016/06/28/lego-star-wars-the-force-awakens-review
3933	908	http://www.ign.com/articles/2016/06/28/inside-review
204	86	http://www.ign.com/articles/2016/06/17/trials-of-the-blood-dragon-review
2465	737	http://www.ign.com/articles/2016/06/06/mirrors-edge-catalyst-review
499	193	http://www.ign.com/articles/2016/06/01/dead-island-definitive-collection-review
258	86	http://www.ign.com/articles/2016/05/31/one-piece-burning-blood-review
1775	483	http://www.ign.com/articles/2016/05/25/the-witcher-3-wild-hunt-blood-and-wine-review
2075	670	http://www.ign.com/articles/2016/05/17/homefront-the-revolution-review
2704	728	http://www.ign.com/articles/2016/05/02/battleborn-review
202	83	http://www.ign.com/articles/2016/05/03/the-park-review
428	169	http://www.ign.com/articles/2016/04/29/hitman-episode-2-sapienza-review
526	206	http://www.ign.com/articles/2016/04/02/rise-of-the-tomb-raider-cold-darkness-awakened-review
8881	1433	http://www.ign.com/articles/2016/04/01/quantum-break-review
1051	365	http://www.ign.com/articles/2016/03/24/stardew-valley-review
180	102	http://www.ign.com/articles/2016/03/24/trackmania-turbo-review
976	333	http://www.ign.com/articles/2016/03/17/ea-sports-ufc-2-review
19939	2918	http://www.ign.com/articles/2016/03/16/the-division-review
1304	375	http://www.ign.com/articles/2016/03/10/hitman-episode-1-paris-review
357	166	http://www.ign.com/articles/2016/02/23/plants-vs-zombies-garden-warfare-2-review
476	201	http://www.ign.com/articles/2016/02/23/rocket-league-xbox-one-review
380	181	http://www.ign.com/articles/2016/02/08/assassins-creed-chronicles-russia-review
272	105	http://www.ign.com/articles/2016/02/08/cobalt-review
3603	881	http://www.ign.com/articles/2016/02/08/firewatch-review
807	305	http://www.ign.com/articles/2016/02/08/unravel-review
1966	615	http://www.ign.com/articles/2016/02/01/xcom-2-review
291	150	http://www.ign.com/articles/2016/01/27/rise-of-the-tomb-raider-baba-yaga-the-temple-of-the-witch-review
3903	994	http://www.ign.com/articles/2016/01/25/the-witness-review
2433	591	http://www.ign.com/articles/2016/01/18/resident-evil-zero-hd-remaster-review
69	41	http://www.ign.com/articles/2016/01/14/minecraft-story-mode-episode-4-a-block-and-a-hard-place-review
278	145	http://www.ign.com/articles/2016/01/12/assassins-creed-chronicles-india-review
1569	706	http://www.ign.com/articles/2015/12/03/just-cause-3-xbox-one-and-playstation-4-review
5065	1167	http://www.ign.com/articles/2015/11/30/rainbow-six-siege-review
34	28	http://www.ign.com/articles/2015/11/25/minecraft-story-mode-episode-3-the-last-place-you-look-review
13737	2724	http://www.ign.com/articles/2015/11/12/star-wars-battlefront-review
14460	2532	http://www.ign.com/articles/2015/11/09/fallout-4-review
8901	2207	http://www.ign.com/articles/2015/11/09/rise-of-the-tomb-raider-review
10791	2197	http://www.ign.com/articles/2015/11/05/call-of-duty-black-ops-3-review
426	261	http://www.ign.com/articles/2015/11/02/darksiders-2-deathinitive-edition-review
180	109	http://www.ign.com/articles/2015/10/30/minecraft-story-mode-episode-2-assembly-required-review
1136	426	http://www.ign.com/articles/2015/10/30/wwe-2k16-review
621	308	http://www.ign.com/articles/2015/10/26/divinity-original-sin-enhanced-edition-review
20798	2955	http://www.ign.com/articles/2015/10/26/halo-5-guardians-review
853	427	http://www.ign.com/articles/2015/10/25/guitar-hero-live-review
4426	1644	http://www.ign.com/articles/2015/10/22/assassins-creed-syndicate-review
418	211	http://www.ign.com/articles/2015/10/21/life-is-strange-episode-5-polarized-review
303	177	http://www.ign.com/articles/2015/10/13/wasteland-2-directors-cut-review
277	157	http://www.ign.com/articles/2015/10/13/minecraft-story-mode-episode-1-the-order-of-the-stone-review
1595	696	http://www.ign.com/articles/2015/10/08/the-witcher-3-hearts-of-stone-review
551	312	http://www.ign.com/articles/2015/10/08/transformers-devastation-review
230	164	http://www.ign.com/articles/2015/10/06/nba-live-16-review
912	437	http://www.ign.com/articles/2015/10/05/rock-band-4-review
63	48	http://www.ign.com/articles/2015/09/28/skylanders-superchargers-review
3081	66	http://www.ign.com/articles/2015/09/21/fifa-soccer-16-review
14251	88	http://www.ign.com/articles/2015/09/15/destiny-the-taken-king-review
755	25	http://www.ign.com/articles/2015/09/15/nhl-16-review
37	4	http://www.ign.com/articles/2015/09/14/rugby-league-live-3-review
248	7	http://www.ign.com/articles/2015/09/10/dragon-age-inquisition-trespasser-review
6630	29	http://www.ign.com/articles/2015/09/08/forza-motorsport-6-review
679	5	http://www.ign.com/articles/2015/08/28/disney-infinity-30-review
1472	4	http://www.ign.com/articles/2015/08/27/dishonored-definitive-edition-review
1777	59	http://www.ign.com/articles/2015/08/25/mega-man-legacy-collection-review
2407	11	http://www.ign.com/articles/2015/08/24/madden-nfl-16-review
6058	14	http://www.ign.com/articles/2015/08/24/gears-of-war-ultimate-edition-review-2
26427	426	http://www.ign.com/articles/2015/08/23/metal-gear-solid-5-the-phantom-pain-review
865	4	http://www.ign.com/articles/2015/08/20/zombi-review
2186	3	http://www.ign.com/articles/2015/08/19/smite-xbox-one-review
385	1	http://www.ign.com/articles/2015/08/07/beyond-eyes-review
7217	3	http://www.ign.com/articles/2015/08/03/rare-replay-review
745	13	http://www.ign.com/articles/2015/07/30/life-is-strange-episode-4-dark-room-review
424	1	http://www.ign.com/articles/2015/07/28/kings-quest-a-knight-to-remember-review
2134	2	http://www.ign.com/articles/2015/07/14/batman-arkham-knight-batgirl-a-matter-of-family-dlc-review
859	4	http://www.ign.com/articles/2015/07/14/rory-mcilroy-pga-tour-review
379	1	http://www.ign.com/articles/2015/07/01/payday-2-crimewave-edition-review
954	2	http://www.ign.com/articles/2015/06/23/devil-may-cry-4-special-edition-review
15139	24	http://www.ign.com/articles/2015/06/19/batman-arkham-knight-review
3447	15	http://www.ign.com/articles/2015/06/09/the-elder-scrolls-online-tamriel-unlimited-review
756	0	http://www.ign.com/articles/2015/05/28/the-evil-within-the-executioner-review
4502	0	http://www.ign.com/articles/2015/05/28/destiny-house-of-wolves-review-2
652	0	http://www.ign.com/articles/2015/05/19/life-is-strange-episode-3-review
51145	72	http://www.ign.com/articles/2015/05/12/the-witcher-3-the-wild-hunt-review
2220	1	http://www.ign.com/articles/2015/05/08/wolfenstein-the-old-blood-review
8739	6	http://www.ign.com/articles/2015/05/06/project-cars-review
720	0	http://www.ign.com/articles/2015/04/23/the-evil-within-the-consequence-review
3281	1	http://www.ign.com/articles/2015/04/22/state-of-decay-year-one-survival-edition-review
2385	2	http://www.ign.com/articles/2015/04/21/assassins-creed-chronicles-china-review
12474	6	http://www.ign.com/articles/2015/04/13/mortal-kombat-x-review
3501	1	http://www.ign.com/articles/2015/04/08/neverwinter-xbox-one-review
1168	2	http://www.ign.com/articles/2015/04/08/rbi-baseball-15-review
1286	0	http://www.ign.com/articles/2015/03/31/forza-horizon-2-presents-fast-furious-review
1428	1	http://www.ign.com/articles/2015/03/26/dragon-age-inquisition-jaws-of-hakkon-review
1975	5	http://www.ign.com/articles/2015/03/24/borderlands-the-handsome-collection-review
611	0	http://www.ign.com/articles/2015/03/17/resident-evil-revelations-2-episode-4-review-2
17944	12	http://www.ign.com/articles/2015/03/16/battlefield-hardline-review
8064	8	http://www.ign.com/articles/2015/03/16/final-fantasy-type-0-hd-review
1637	0	http://www.ign.com/articles/2015/03/11/the-evil-within-the-assignment-review
474	0	http://www.ign.com/articles/2015/03/10/resident-evil-revelations-2-episode-3-review
1849	3	http://www.ign.com/articles/2015/03/09/dmc-devil-may-cry-definitive-edition-review
368	0	http://www.ign.com/articles/2015/03/09/white-night-review
6155	9	http://www.ign.com/articles/2015/03/04/dragon-ball-xenoverse-review
1228	0	http://www.ign.com/articles/2015/03/03/resident-evil-revelations-2-episode-2-review
3398	0	http://www.ign.com/articles/2015/03/02/screamride-review
328	0	http://www.ign.com/articles/2015/02/24/middle-earth-shadow-of-mordor-the-bright-lord-review
1914	0	http://www.ign.com/articles/2015/02/24/resident-evil-revelations-2-episode-1-review
2468	0	http://www.ign.com/articles/2015/02/23/dead-or-alive-5-last-round-review
565	3	http://www.ign.com/articles/2015/02/20/hand-of-fate-review
28714	12	http://www.ign.com/articles/2015/02/11/evolve-review
10709	9	http://www.ign.com/articles/2015/01/19/resident-evil-review
1456	1	http://www.ign.com/articles/2015/01/19/saints-row-4-re-elected-review
201	0	http://www.ign.com/articles/2015/01/13/idarb-review
1185	0	http://www.ign.com/articles/2015/01/12/assassins-creed-unity-dead-kings-dlc-review
90	0	http://www.ign.com/articles/2015/01/12/funk-of-titans-review
153	0	http://www.ign.com/articles/2015/01/12/sunset-overdrive-mystery-of-the-mooil-rig-dlc-review
0	0	http://www.ign.com/articles/2014/12/31/the-walking-dead-a-telltale-game-series-season-2-review
5336	0	http://www.ign.com/articles/2014/12/18/destiny-the-dark-below-review
118	0	http://www.ign.com/articles/2014/12/16/kalimba-review
307	0	http://www.ign.com/articles/2014/12/09/threes-review
137	1	http://www.ign.com/articles/2014/12/09/just-dance-2015-review
1820	2	http://www.ign.com/articles/2014/12/08/lara-croft-and-the-temple-of-osiris-review
344	3	http://www.ign.com/articles/2014/12/04/rugby-15-review
14688	13	http://www.ign.com/articles/2014/12/02/the-crew-review
1573	1	http://www.ign.com/articles/2014/12/01/game-of-thrones-episode-1-iron-from-ice-review
1085	2	http://www.ign.com/articles/2014/11/17/wwe-2k15-review-ps4xbox-one
17990	10	http://www.ign.com/articles/2014/11/17/gta-5-playstation-4-and-xbox-one-review
1638	0	http://www.ign.com/articles/2014/11/14/pro-evolution-soccer-2015-review
18502	6	http://www.ign.com/articles/2014/11/14/far-cry-4-review
23616	15	http://www.ign.com/articles/2014/11/11/assassins-creed-unity-review
22791	12	http://www.ign.com/articles/2014/11/11/dragon-age-inquisition-review
53280	3	http://www.ign.com/articles/2014/11/06/halo-the-master-chief-collection-review
42909	10	http://www.ign.com/articles/2014/11/03/call-of-duty-advanced-warfare-review
162	0	http://www.ign.com/articles/2014/10/30/costume-quest-2-console-review
719	2	http://www.ign.com/articles/2014/10/28/nba-live-15-review
25495	5	http://www.ign.com/articles/2014/10/27/sunset-overdrive-review
2451	3	http://www.ign.com/articles/2014/10/21/the-legend-of-korra-the-game-review
1057	3	http://www.ign.com/articles/2014/10/21/fantasia-music-evolved-review
19533	8	http://www.ign.com/articles/2014/10/16/the-evil-within-review
112	0	http://www.ign.com/articles/2014/10/14/defense-grid-2-review
4901	1	http://www.ign.com/articles/2014/10/09/nba-2k15-review
1527	8	http://www.ign.com/articles/2014/10/08/sleeping-dogs-definitive-edition-review
5087	4	http://www.ign.com/articles/2014/10/07/project-spark-review
29369	77	http://www.ign.com/articles/2014/10/03/alien-isolation-review
30397	20	http://www.ign.com/articles/2014/09/25/middle-earth-shadow-of-mordor-review
9386	4	http://www.ign.com/articles/2014/09/25/forza-horizon-2-review
203	0	http://www.ign.com/articles/2014/09/24/dance-central-spotlight-review
3362	1	http://www.ign.com/articles/2014/09/23/fifa-15-ps4xbox-one-review
978	0	http://www.ign.com/articles/2014/09/22/d4-dark-dreams-dont-die-review
9939	0	http://www.ign.com/articles/2014/09/05/minecraft-ps4-and-xbox-one-review
64676	7	http://www.ign.com/articles/2014/09/03/destiny-review
516	4	http://www.ign.com/articles/2014/08/25/the-golf-club-review
4286	0	http://www.ign.com/articles/2014/08/21/madden-nfl-15-review
3268	4	http://www.ign.com/articles/2014/08/19/metro-redux-review
4627	9	http://www.ign.com/articles/2014/08/14/diablo-3-reaper-of-souls-ultimate-evil-edition-review
14462	9	http://www.ign.com/articles/2015/03/09/ori-and-the-blind-forest-review
1447	0	http://www.ign.com/articles/2014/07/09/guacamelee-super-turbo-championship-edition-review
940	0	http://www.ign.com/articles/2014/06/27/transformers-rise-of-the-dark-spark-review
4048	0	http://www.ign.com/articles/2014/06/19/ea-sports-ufc-review
5552	3	http://www.ign.com/articles/2014/06/02/murdered-soul-suspect-review
36573	8	http://www.ign.com/articles/2014/05/27/watch-dogs-review
14772	9	http://www.ign.com/articles/2014/05/19/wolfenstein-the-new-order-review
1104	0	http://www.ign.com/articles/2014/05/14/super-time-force-review
2466	1	http://www.ign.com/articles/2014/04/30/the-amazing-spider-man-2-game-review
3836	2	http://www.ign.com/articles/2014/04/28/child-of-light-review
1756	0	http://www.ign.com/articles/2014/04/16/trials-fusion-review
1161	0	http://www.ign.com/articles/2014/04/10/lego-the-hobbit-review
4208	0	http://www.ign.com/articles/2014/04/07/kinect-sports-rivals-review
17020	2	http://www.ign.com/articles/2014/03/18/metal-gear-solid-5-ground-zeroes-review
33939	9	http://www.ign.com/articles/2014/03/10/titanfall-review-2
1180	0	http://www.ign.com/articles/2014/02/25/plants-vs-zombies-garden-warfare-review
11194	2	http://www.ign.com/articles/2014/02/24/thief-review
1034	3	http://www.ign.com/articles/2014/02/18/strider-review
451	0	http://www.ign.com/articles/2014/02/12/the-lego-movie-videogame-review
9808	11	http://www.ign.com/articles/2014/01/24/tomb-raider-definitive-edition-review
4316	0	http://www.ign.com/articles/2014/01/10/halo-spartan-assault-xbox-one-review
188	0	http://www.ign.com/articles/2014/01/10/zumba-fitness-world-party-review
3094	2	http://www.ign.com/articles/2013/12/23/max-the-curse-of-brotherhood-review
1085	3	http://www.ign.com/articles/2013/12/09/peggle-2-review
1231	0	http://www.ign.com/articles/2013/12/02/fifa-14-review
2143	3	http://www.ign.com/articles/2013/11/26/battlefield-4-xbox-one-review
1120	1	http://www.ign.com/articles/2013/11/22/zoo-tycoon-review
5110	1	http://www.ign.com/articles/2013/11/22/the-fighter-within-review
14418	9	http://www.ign.com/articles/2013/11/21/ryse-son-of-rome-review
1003	4	http://www.ign.com/articles/2013/11/20/need-for-speed-rivals-review
6110	0	http://www.ign.com/articles/2013/11/20/forza-motorsport-5-review
1893	0	http://www.ign.com/articles/2013/11/19/nba-live-14-review
29566	3	http://www.ign.com/articles/2013/11/18/dead-rising-3-review
1274	0	http://www.ign.com/articles/2013/11/18/powerstar-golf-review
1275	0	http://www.ign.com/articles/2013/11/18/crimson-dragon-review
659	0	http://www.ign.com/articles/2013/11/18/lococycle-review
7601	7	http://www.ign.com/articles/2013/11/18/killer-instinct-review
349	1	http://www.ign.com/articles/2013/11/15/madden-nfl-25-xbox-one-and-playstation-4-review
2190	1	http://www.ign.com/articles/2013/11/11/nba-2k14-ps4-xbox-one-review
21	9	http://www.ign.com/articles/2013/11/05/call-of-duty-ghosts-review
12	7	http://www.ign.com/articles/2013/10/29/assassins-creed-4-black-flag-review
1191	1	http://www.ign.com/articles/2013/10/22/lego-marvel-super-heroes-review
5653	2	http://www.ign.com/articles/2013/08/26/rayman-legends-review
3729	322	http://www.ign.com/articles/2013/08/15/gone-home-review
31732	9	http://www.ign.com/articles/2015/01/26/dying-light-review
106	54	http://www.ign.com/articles/2016/10/04/hitman-episode-5-colorado-review
2546	267	http://www.ign.com/articles/2017/08/28/mario-rabbids-kingdom-battle-review
232	63	http://www.ign.com/articles/2017/07/31/overcooked-special-edition-review
3096	234	http://www.ign.com/articles/2017/07/24/splatoon-2-review
1187	194	http://www.ign.com/articles/2017/07/03/the-legend-of-zelda-breath-of-the-wild-the-master-trials-dlc-review
3456	377	http://www.ign.com/articles/2017/06/07/arms-review
55	20	http://www.ign.com/articles/2017/06/07/minecraft-switch-edition-review
161	31	http://www.ign.com/articles/2017/04/25/mr-shifty-review
466	80	http://www.ign.com/articles/2017/04/24/puyo-puyo-tetris-review
4475	521	http://www.ign.com/articles/2017/04/20/mario-kart-8-deluxe-review
89	32	http://www.ign.com/articles/2017/04/10/graceful-explosion-machine-review
210	51	http://www.ign.com/articles/2017/04/05/lego-city-undercover-review-2
334	128	http://www.ign.com/articles/2017/03/17/the-binding-of-isaac-afterbirth-review
198	77	http://www.ign.com/articles/2017/03/15/blaster-master-zero-review
18638	1611	http://www.ign.com/articles/2017/03/07/nintendo-switch-review
178	73	http://www.ign.com/articles/2017/03/07/fast-rmx-review
227	84	http://www.ign.com/articles/2017/03/07/shovel-knight-treasure-trove-review
171	72	http://www.ign.com/articles/2017/03/06/snipperclips-cut-it-out-together-review
607	154	http://www.ign.com/articles/2017/03/06/super-bomberman-r-review
631	224	http://www.ign.com/articles/2017/03/02/1-2-switch-review
17242	1424	http://www.ign.com/articles/2017/03/02/the-legend-of-zelda-breath-of-the-wild-review
840	265	http://www.ign.com/articles/2016/07/20/i-am-setsuna-review
155	58	http://www.ign.com/articles/2016/12/20/shantae-half-genie-hero-review
704	192	http://www.ign.com/articles/2016/10/05/paper-mario-color-splash-review
964	200	http://www.ign.com/articles/2016/06/29/tokyo-mirage-sessions-fe-review
123	73	http://www.ign.com/articles/2016/04/20/star-fox-guard-review
3179	693	http://www.ign.com/articles/2016/04/20/star-fox-zero-review
1330	442	http://www.ign.com/articles/2016/03/15/pokken-tournament-review
1915	533	http://www.ign.com/articles/2016/03/01/the-legend-of-zelda-twilight-princess-hd-review
468	193	http://www.ign.com/articles/2016/01/04/fast-racing-neo-review
3968	829	http://www.ign.com/articles/2015/12/07/xenoblade-chronicles-x-review
707	269	http://www.ign.com/articles/2015/11/18/animal-crossing-amiibo-festival-review
1539	591	http://www.ign.com/articles/2015/11/18/mario-tennis-ultra-smash-review
23711	478	http://www.ign.com/articles/2015/05/27/splatoon-review
1171	371	http://www.ign.com/articles/2015/10/19/fatal-frame-maiden-of-the-black-water-review
6215	39	http://www.ign.com/articles/2015/09/02/super-mario-maker-review
4831	30	http://www.ign.com/articles/2015/08/28/devils-third-review
569	5	http://www.ign.com/articles/2015/07/24/earthbound-beginnings-review
3842	205	http://www.ign.com/articles/2015/06/22/yoshis-woolly-world-review
